
 num     #instances         #bytes  class name
----------------------------------------------
   1:        174731       34144176  [B
   2:        268590       28064368  [C
   3:         38969       27625920  [I
   4:         60422        6447048  [Ljava.lang.Object;
   5:        266920        6406080  java.lang.String
   6:         45030        4939296  java.lang.Class
   7:        149880        4796160  com.intellij.util.text.ByteArrayCharSequence
   8:         80783        3231320  com.intellij.openapi.vfs.impl.ArchiveHandler$EntryInfo
   9:         65667        2101344  com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl
  10:         58845        1883040  com.intellij.util.containers.IntObjectLinkedMap$MapEntry
  11:         19108        1681504  java.lang.reflect.Method
  12:         48672        1557504  java.util.HashMap$Node
  13:         33432        1337280  org.jdom.Attribute
  14:         28282        1131280  java.util.LinkedHashMap$Entry
  15:         34143        1092576  java.util.concurrent.ConcurrentHashMap$Node
  16:         26882        1075280  com.intellij.util.containers.hash.LinkedHashMap$Entry
  17:         14642        1054224  java.lang.reflect.Field
  18:          7263        1034384  [J
  19:          3843        1021144  [Lcom.intellij.openapi.vfs.impl.ArchiveHandler$EntryInfo;
  20:          8694        1012448  [Ljava.util.HashMap$Node;
  21:          8154         652320  java.lang.reflect.Constructor
  22:          9578         612992  java.net.URL
  23:         15225         609000  org.jdom.ContentList
  24:         15225         609000  org.jdom.Element
  25:         27642         600256  [Ljava.lang.Class;
  26:         16576         530432  java.util.Hashtable$Entry
  27:         13244         529760  java.lang.ref.SoftReference
  28:             2         524320  [Lcom.jetbrains.sourceglider.relations.incremental.RelationsCache$KeyEntry;
  29:         12006         439360  [Lorg.jdom.Attribute;
  30:         12898         412736  org.jdom.AttributeList
  31:         16304         391296  java.util.ArrayList
  32:            33         388624  [Lcom.intellij.util.containers.IntObjectLinkedMap$MapEntry;
  33:          4728         378240  sun.lwawt.macosx.NSEvent
  34:           679         360112  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  35:          7323         351504  java.util.HashMap
  36:          6009         336504  java.util.LinkedHashMap
  37:          5461         305816  java.lang.invoke.MemberName
  38:           634         295248  [Lcom.intellij.util.containers.hash.LinkedHashMap$Entry;
  39:          7175         287000  com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl
  40:          4446         284544  com.intellij.openapi.actionSystem.Presentation
  41:         11460         275040  com.intellij.util.SmartList
  42:          4757         266392  java.lang.Class$ReflectionData
  43:          3046         254232  [S
  44:         10267         246408  com.intellij.psi.stubs.StubIdList
  45:          2105         235496  [Ljava.util.Hashtable$Entry;
  46:          9519         228456  com.intellij.openapi.util.io.BufferExposingByteArrayOutputStream
  47:         13864         221824  java.lang.Integer
  48:          8748         209952  com.intellij.openapi.vfs.newvfs.impl.VfsData$DirectoryData
  49:          5173         206920  java.lang.invoke.MethodType
  50:          5100         204000  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
  51:          4291         197880  [Ljava.lang.String;
  52:          4443         195520  [Lorg.jdom.Content;
  53:          4515         180600  com.intellij.openapi.extensions.impl.XmlExtensionAdapter
  54:          3209         179704  java.lang.Package
  55:         11069         177104  java.lang.Object
  56:          4188         167520  java.lang.ref.Finalizer
  57:          5174         165568  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  58:          4101         164040  java.util.TreeMap$Entry
  59:          5043         161376  com.intellij.util.indexing.impl.ChangeTrackingValueContainer
  60:           931         151840  [Ljava.util.WeakHashMap$Entry;
  61:          1699         149512  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
  62:          3055         146640  org.apache.xerces.dom.DeferredAttrNSImpl
  63:          2244         143616  java.util.concurrent.ConcurrentHashMap
  64:          2966         142368  gnu.trove.THashMap
  65:          4352         139264  com.intellij.codeInspection.bytecodeAnalysis.HMember
  66:          2107         134848  com.esotericsoftware.kryo.serializers.UnsafeCacheFields$UnsafeObjectField
  67:          3259         130360  com.intellij.openapi.extensions.impl.XmlExtensionAdapter$ConstructorInjectionAdapter
  68:          5100         122400  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
  69:          1271         122016  com.intellij.codeInspection.LocalInspectionEP
  70:          3790         121280  java.lang.ref.WeakReference
  71:          5043         121032  com.intellij.util.indexing.impl.MapIndexStorage$3$1
  72:          5043         121032  com.intellij.util.indexing.impl.ValueContainerImpl
  73:          5026         120624  com.intellij.util.lang.MemoryResource
  74:          3408         109056  java.lang.invoke.DirectMethodHandle
  75:          1717         107184  [Ljava.lang.reflect.Method;
  76:          2677         107080  java.util.WeakHashMap$Entry
  77:           368         105208  [F
  78:          1131          99528  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
  79:             3          98352  [Ljava.util.concurrent.ForkJoinTask;
  80:          2015          96720  java.util.Hashtable
  81:          2812          89984  java.io.File
  82:          3684          88416  java.util.Collections$UnmodifiableRandomAccessList
  83:          1369          87616  com.intellij.util.containers.FixedHashMap
  84:          2185          87400  java.io.ObjectStreamField
  85:          2654          84928  java.util.Vector
  86:          1658          79584  com.intellij.util.ui.JBUI$ScaleContext
  87:          2486          79552  javax.swing.text.html.parser.ContentModel
  88:          3294          79296  [Ljava.lang.reflect.Constructor;
  89:            36          78400  [Lcom.intellij.util.containers.ConcurrentIntObjectHashMap$Node;
  90:          3202          76848  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
  91:          1366          76496  com.intellij.openapi.util.IconLoader$CachedImageIcon
  92:          1876          75040  com.intellij.openapi.util.objectTree.ObjectNode
  93:          1170          74880  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
  94:          1332          74592  com.intellij.openapi.actionSystem.ActionStub
  95:           985          70920  sun.reflect.DelegatingClassLoader
  96:           205          70520  javax.swing.JPanel
  97:           785          69080  sun.font.CFont
  98:          2849          68376  sun.reflect.NativeConstructorAccessorImpl
  99:           778          65040  [[I
 100:           422          63504  [Z
[...]
Total       2203728      160895976
